artist_id,artist_name,artist_genres,artist_followers,artist_popularity,artist_type,artist_top_tracks,related_artists
1gcqHtDwFWb7gufypnuUhE,Rhauder,['dub techno'],1058,10,artist,"['1D2Du61yUQPibd856LYjcY', '4BkHMGXE9BK0ZQyc8ooKDz', '3A02na8B6MRNtxgEqgqpuN', '18trZaAqv88G6nnNWKAUEc', '0GmA1mBK8b3so4hC2p7qR7', '5zvkKWdnaeHNf9LZfN25Ik', '3EjfxST0qm6pxo7HvsZB4w', '1sFU0UAllEWnpNeioxAsvr', '4oxotvr8KGq9v7aRLYWLiS', '7HemesqSO89sfSMZwHH4dx']","['3SlLKPEWkqqxLWNar2H9WY', '7i0alXUWscFXnVcnXLlheq', '2xBjIclLb9V8Q26jsZqWGj', '2XAX9oZzjmpUTKPlmSPkSd', '2e191JMg4nwiwIYoaBwEFo', '5GK97fqfpyYfnv3lNdCTxP', '0J3MdmsXW9YkK1JqZP9Ksq', '7CgeS68e7HyUPVPbge7Ovy', '20erF0KNl2867pn4Ma9FvV', '0CwNn8CqML5AVF3MHl5Q2D', '0TW3Kr7qVPFc5fBQz9Q3WV', '38zfjwWSt5995vjlOcQ0ed', '2cP6AfdXveiNYP8NUmW9rt', '3Ofm2SWiegq93fMrLiLmoQ', '0j4fIcQHXfWEtstL9x1lMM', '2aqA1rqioB4Fc8Xre931gX', '0Z1HUzAek6bJBuBhz8mx0q', '3weetANlzOcw3zUhhK8oEQ', '3B4kehEYwldgwyG1S9wlYl', '1c733CliZ5lPyy4Il3s21t']"
7oIMjQaQV5xdwPFxXfb8Jg,Darth Vegas,['avant-rock'],3928,12,artist,"['527xCKjNHrrzJ0HweYgCxU', '70jISgxKdlg6TG8kLmldTH', '74bCRuNGpvsQwLh6I9jRCF', '5gNGOKOO4L46lgDrBk89ag', '5xEaZqWIt1RLqZzT473Srz', '0PqUx2QNGJMP8vSaosc0VI', '66LrVFDglPBkJ07ZVmYCKR', '2MH6TOjGfnf1lZWQQ5ER7O', '6ZMOgrXepaGskCz45QpkIO', '5L9zwoQUofnExUhrryE17i']","['26nZorXfAlVYdCA6CMLz3H', '2kDU7snQW50coV4aizXsQI', '5Rtvp8gQc663j1YJfNOUZy', '4KZMgHk31kb3XiKF2hSNyZ', '52O01bf8eVVo1KtMaxLjKJ', '4JrGzTgHugrfYlQdUjk4Js', '34qBMNtSvpXe6AYTRdaQZv', '3l5V7MKm1B8WykBunFKOec', '1xieC6GkoG1VsMEcD3A07K', '6XbKPBTlFkkxK4imOnLGI6', '3H6yIZ1GLpc1WV51iuyZgp', '74KPeP60dRLSAAk7sFtWTC', '2owKboKAxSvbkwMS1kk4mp', '5XQPtqTNKGk1ZTFwT2PKro', '0cY02eEDjlx9VL1rLIaUdW', '12dyQlKTKQWvD0v7xJ7cVQ', '4ZRsSvxF588eUkyfFRLWEn', '43ltIj8NRBsmOEjDr5Sk10', '34Ai24gPz5YJ8NbksiNFef', '4ZdbxATtc6RpHcxAHy0SLK']"
48X2VrWYIGBUHPzXVxU82X,Nova Fronteira,[],301,11,artist,"['2Pfa9vGdYDxuHbUacRp18t', '7Eezyn9LR3ssQDiG8hyBpb', '1HHaXzuCIhMU5BKI1Vqfyx', '0LVrWKsoPXqv75O9Rd6XA3', '3JMiatr8X4ew3IUZV9wmsY', '6mdhX4S5g3mAJYOzzFyMmU', '5K97bROdNSea8Vs2Qdr4zS', '1VHqIEtMvqIk3bnYADMiOM', '1L4y8V323DKfH7pas8gOOI', '2QmlVPDfAxnsolT8mKUcA0']","['1hN0HcEUYVNBsMV3aRevIN', '6d2OY8yN6MdCnPOcAmNqJR', '6gEdcNCCqpeMDMX6Qldchw', '6OJ0BWygNpfxuUmT43DBde', '0tQ6E3EZuU6HCF9SaClbI2', '10cgCwQ5XXirdZEPR6BuDD', '4Qc2hTBOx11WvgZMK2M4O9', '4kr94nr7SzBRas5Cb3krFZ', '3WFMMQ1fyhtNWADfkMwhTn', '6CpUfSiqmNciuYLQ1CxH9e', '08kPo64mjRoqiJVmzl1Wic', '5WaobPZaAjGIIlabFX3I94', '7KWmHJx8szSRWhzUHluYC5', '06c2fzGBhKOSrbEG4wBu5U', '5yK5YSsWKH35QRTsHQHxEN', '5SDOrz6Zieh0kqMhQHjxF0', '6rlJLH47KEHCHOtrRbwagW', '7JCiEoZpn0yghisiVNvl4X', '04Yb1Hoq1XbQHmjjLhs4Et', '6vmRl3VuXiU126ssJufx2Z']"
7MITor11wcrYJ7sOVxdeiU,iLa Mawana,"['reggae rock', 'west coast reggae']",1092,1,artist,"['4pAjJfw3ckFrNDijsQ2Z7q', '5cPjSLZep2JlfFeMAFTlyn', '5V1HjL5dfovHDCClmtSSEM', '7hlVeeQymay0u7M2Mguq1D', '5kjc1HRsNNZao1V3MkrD52', '2yntOWqbQJildpQE32rQU0', '3fH5ENYH9wBe6M3ibOdQHf', '6TR2ne2RtG6vVRLoo64flJ', '1AEXsojqXCyQAWGOWOTsVf', '4kVfNT4xDzeauXVH4fSrFm']","['46vKSNtx6gumpd9hLEB5g5', '1SqzFkHc1PU5WWX700AHUH', '0vFvWfPt3Ah8Jmnvkz7u19', '3OuWnJjdra0xHsdtB3HIHj', '4W8S4RdrwDIcIaAZ7W6Ahs', '4iqIJfjADgX6Qs4ICjE0j5', '5JslLVeHhYP7OOgBAnRF11', '3Odgmi5RXXBhrxu2EkTcen', '6TofIIqBhodHJAZU6vh9sT', '6MfN86o4mIwyZH7SanCZSr', '2Q8olwl8mJwZF9mg9ctB2U', '3TP5cmQcwWeU7QuVtg6uOG', '7oCLszslsC5mKWJFQhZHqn', '0uFULZof4GkInWZvjhAddF', '4aaI98mVuxiEiS1lV4PZfx', '3LuuVsfFPxgylAlEFoEYYN', '0Z9znyzMwQxr9ymDi45i5A', '15vbBDoUXMr1tGGpdALKKP', '4rPJGrFKuSjMtVCo7qFI2D', '7aYSjVwh5jraS9J6YsaADE']"
3yy1vJR5K3iPMmJBB2OIkW,Dear Abbeys,['college a cappella'],958,13,artist,"['5k5amYGRUCR1OviNp7UG1e', '1oJOMcDqwPkEg78ox4fQVi', '3FQ5xI0yIHIgKpkXsWs5o4', '5a7K92yuEsZvTacdLT1upY', '6Ue4JYdFbWNMdJHwHgzlj8', '6LJSuS1mxCXU9X6q1b1G7o', '5tCa6DyapQjZtDVbffRppQ', '0FaWOoYiwlg3gsXdfyvliU', '2VSLagsdcMcjZOY5iWhyXK', '0NXbBvE61Sxe2rQmbdja6r']","['1jz5HCLwsDkpBYz80n9wbR', '71Cez1b1NqsxIn5u8XNiQD', '1Vjug1h4HXCeplbouQEbV3', '5bPTIGQvxRNjr6wl9yyAct', '5IPABE7EhPLvUVsgM3dlZ8', '4VsNVAxuPxZrJMWE2Tprtq', '00IjdWQ46sSBP4gZYObAMx', '2VyMwoZuuLbwsOjFVqw2O0', '339LznRZlrepreVHtbByXT', '5wUTXZIMX0mn6MzFA13qfO', '13laOGi8Dzc7HAyspU7WPK', '2WghnZkFZDxT1l2bnFwfuM', '4J3Glya9hrzgtrLpAEzOp0', '0gW6hG0g7pVNbHgvmYwHDl', '69Pf8rqiLQ8L41MyLUiSja', '4wFqotuEhWL1ERKyIVnU9F', '3t4t6uBCKAqkxkAzbWa43Z', '0steWfkS4hwaErh84SlHMW', '7aCUqnLkFEQd2FPL6RK1tW', '2rnUCymfLpYMQQ4UmXdN1x']"
1yfV8jgPmvbPzsokqTTAzL,Peach Stealing Monkeys,[],458,1,artist,"['6z5BRWA94048fOPYAHOjEO', '2FX0PgQqJ5o2L3jcHviljF', '39Jvsni9VgSIr1Mz6RxmqR', '7BqdihQDHVPfSf80EGm5qH', '72DNxebjwxO2eGumrsepdQ', '5CzFvkzkRawhnoHjOupeuE', '5GVZv9d9zZiJPWB6Fbz6sw', '1QfPJyAhB5W9pO6qFMekpn', '38tcUDBmm8K7VgOP5cC04w', '225MHAR07BDNODT41BdFHA']","['4l8S3gH7kFBB9XcI7EtUoT', '1C0yDR3LkjMlsH8TyuZH5Y', '3Y7Y2CNmpI13IevU3PuzCa', '1V87YBYkHEw3a8ubYQKUJj', '5Ti4zJez9gmGvlMYe3HI7r', '4GWy2psYrPFpzmM39YGANk', '2jvKLLBED6JvKWtT8y3kCu', '1QJ9kCVhMq6CdvoiLmJXLR', '1itcbDCvg9EUfGqmj5KDTt', '6OPZNcNhOMLVfDFib2N56O', '5IZHfcLtAedaT5nQXsnv6s', '6D9uBqsbDJXQffbjdNL5MW', '1nrcHoKs4l6lsFbxjM40kA', '5XMdsRYEkl1xdA9KROiKYA', '6Q5Y3cTgxoGM56NfWFxoXb', '2n8v80WbQmCIic5PaIBq6k', '3lv5DLMwPsEUeP80oWO10Z', '1WXcBOBf5di6QcFGFLQLsE', '4TIrC99WSg0tOtBCGDjMRY', '3ypm0zjSJMdeY9MpGi1Oi4']"
3CME5Ab1e9jd6I3abr26sN,Phil Campbell,[],1628,13,artist,"['4V6fn6nPtEG96etbXwqH1U', '3lQolXxHav1zzqw2HrZ6Mr', '1P46HrnSDqR9gJcnt31omm', '1m8SwMsqHYoqKnyszDWBhu', '76iTI86HOE22X4nwJznrOo', '33SdhsruYr78iOfHPmCjsg', '6GzBfLWgUcPg5ts8sfYvHM', '7ik35TwOjAdmO8yfOGlaa1', '4HFKFzxFyjUclMuxPdVD1U', '1iLimOX5Eg71qREBWXE3ue']","['6eQUs0BNmYt31Ih5uxmQmB', '64pIL4BTZXLzb1pQhxxZhl', '69Wr39LiCYPy5JguLmBH5p', '3SUI6pbPumjijbLHHY6vss', '44qEixF3k3tLYQmHjLlucy', '2l5389g0uFpb9mtNlcQj08', '2Q4FnG5T6NTUcAAZwuMV5K', '0kYJFAUJlmcDMnmS5ChTpw', '3fALQUIY93XYP9h7JyPeeb', '1dip2dCkBIylIFyDfZQfFu', '6xdlt4biT0b4DKB3DMAfoj', '4ZGsCHHflJbvAASuxBG6ae', '1zm4Wf8g8vXufWAKhYtZvb', '7mDw6B8FlS2JtsgVtwqgQw', '191Koh7PSIi28IrGAGoINO', '3XdsvDqukVnHTVUhI3cB2c', '1zrBQvkTNhFFby4V5UiK2L', '79bvE4uUR2P7AqHm2SmR8e', '5PbDlacCfCEAfpjx18811X', '4FXvPjJz57tIo23OpzHlYC']"
3w794vmaccdVxhKSAXxegf,Half Polish,[],4,1,artist,[],[]
6KPdmtIl0LA5mRFSqseWhI,Trophy Eyes,"['alternative emo', 'anthem emo', 'aussie emo', 'pop punk']",95524,48,artist,"['70nKt5OKAbXwlRrKsrf1oq', '0ei2L33JNElnE8txjR2ptr', '0wsNK27DKBwXXOC1JK6s4D', '2sNPAasV0oYzRntx4bNdxV', '4oOXPnAj2sSmybT9aaYsHC', '3tkMd2DUIbJ9cfB6FiIJKr', '6AO1BottKVTrfm0SDRvwsY', '7epEb4JHieug0GQUXMP1d9', '5qWz1to43ELlLywVn3YDlX', '6tcauDXxM4icA4Nj9ODzWA']","['5VKmfBc2pR80IxYoC1gHyH', '0XGJ3GUPwslwFJ66yNbHeh', '4WjeQi9wm84lYTIWZ95QoM', '0ofhRkasSdhp6LUs7tFcF7', '0JXDwBs1sEp6UKoAP58UdF', '6hxiY0CFXTibGUtp8TdCxp', '6dEtLwgmSI0hmfwTSjy8cw', '3hyTRrdgrNuAExA3tNS8CA', '2EIhbnEc2cvYIAsXXbo9tg', '5vV4gEs3O35SdrdwhvhYwe', '1qqdO7xMptucPDMopsOdkr', '0nq64XZMWV1s7XHXIkdH7K', '1P1y4wp6V0CwjhGcXPKgAu', '3cb9CRWtkBQNjVLQNLP9FE', '62elZbH5Iop8UPcChp7OrU', '1W2Fv4YUnjC8hx2qQd6fGh', '5FmgqLlJ8MJ9A8zmOPFxK2', '1uQXG73H5lbcxVXcCHSjZ5', '0znuUIjvP0LXEslfaq0Nor', '0qpDBxRgLp6g0k2esJlUDn']"
1Xkl5tsnye9Ferq1iMMBbM,Adam Mormolstein,[],70,0,artist,"['162dKWyDEWlGPde5IZHNCq', '7HqbQPM3WseVwKPFan3TkO']","['5VrOdCLURhCT3CQZWLaBxV', '3T9M4ahwhge9OxrpwgqPxi', '6cBKGvJ9y7C3Om7MNje9QT', '3h5ITq5nYZ4MklHrZID7xw', '6P5BrOarMPkw4JslD5qw0v', '14n5g7gROHDjIqFccfkiGm', '5VW29S4YpWMDvohHbqUOLF', '4Ahl8J9z7LyI3X1Duz7CMS', '1pCf3iLC9BfuJA24vyd1aV', '7k9ySfW29AncdYujK6duZ0', '51fqrqvrYWrGsT0F3AqrlF', '26shAovCKibDAdD6GpxWkn', '6NvIHbfUrNAErVqYJZ8rrI', '7BqnOPi696fgzOr8IZyf0X', '260U7hmQKU9qfVdfFj8wsQ', '7wytayfOf8kKWIBZkr6Ran', '7FSKd5CASYVwLwZRqVAIM8', '0RLyCiVe7EJ6UWuAkotRJj', '5SSdTOafMAXTQgFROQu7EO', '7N2WaS94F1HiWvvXXESmmk']"
